C:\Python27\python.exe F:/hhly/scrapy/law/law_rule/wenshu_law/test.py
关于附带民事诉讼范围问题的规定 >>>>>>>>>>> 7
本院认为，被告人韦某违反国家毒品管理法规，明知氯胺酮是毒品而予以贩卖，其行为已构成贩卖毒品罪。被告人韦某容留两未成年人吸毒，其行为已构成容留他人吸毒罪。公诉机关指控被告人韦某犯贩卖毒品罪、容留他人吸毒罪事实清楚，证据确实充分，罪名成立。被告人韦某到案后能够如实供述自己的犯罪事实，依法可以从轻处罚。根据被告人犯罪的事实、性质、情节和社会危害程度，依照中华人民共和国刑法 >>>>>>>>>>> 7
江西省高级人民法院、江西省人民检察院、江西省公安厅关于办理破坏森林资源刑事案件若干问题的规定 >>>>>>>>>>> 7
关于〈中华人民共和国刑法〉第一百五十八条、第一百五十九条的解释 >>>>>>>>>>> 7
广西壮族自治区道路交通事故损害赔偿项目计算标准 >>>>>>>>>>> 7
全国人民代表大会常务委员会关于<中华人民共和国刑法>第三十条的解释 >>>>>>>>>>> 7
中华人民共和国刑法修正案八 >>>>>>>>>>> 7
云南省道路交通安全条例 >>>>>>>>>>> 7
关于﹤中华人民共和国刑法﹥第三百一十三条的解释 >>>>>>>>>>> 7
最高人民法院关于对为索取法律不予保护的债务非法拘禁他人行为如何定罪问题的解释 >>>>>>>>>>> 7
最××） >>>>>>>>>>> 7
解释一 >>>>>>>>>>> 7
特别规定 >>>>>>>>>>> 7
关于办理非法制造、买卖、运输、储存毒鼠强等禁用剧毒化学品刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 7
最高人民法院关于适用﹤全国人民代表大会常务委员会关于禁毒的决定﹥的若干问题的解释 >>>>>>>>>>> 7
最高人民法院关于审理交通肇刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 7
烟花爆竹安全管理条例 >>>>>>>>>>> 7
关于办理假冒伪劣烟草制品等刑事案件适用法律问题座谈会纪要 >>>>>>>>>>> 7
道路交通事故处理办法 >>>>>>>>>>> 7
人损解释 >>>>>>>>>>> 7
最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体若干问题的解释 >>>>>>>>>>> 7
安徽省高级人民法院、安徽省人民检察院关于盗窃罪数额认定标准问题的规定 >>>>>>>>>>> 7
最高人民法院关于﹤中华人民共和国刑法修正案（九）﹥时间效力问题的解释 >>>>>>>>>>> 7
关于利用赌博机开设赌场案件适用法律若干问题的意见 >>>>>>>>>>> 6
中华人民共和国刑一 >>>>>>>>>>> 6
关于<中华人民共和国刑法>第二百二十八条、第三百四十二条、第四百一十条的解释 >>>>>>>>>>> 6
最&times;&times;释 >>>>>>>>>>> 6
本院认为，被告人余某某在道路上醉酒驾驶机动车辆，其行为侵犯了道路交通秩序和公共安全，已构成危险驾驶罪。公诉机关指控的罪名成立，本院予以支持。被告人余某某无驾驶资格驾驶机动车，从重处罚。被告人余某某归案后如实供述所犯罪行，属坦白，依法可以从轻处罚；自愿认罪，具有酌定从轻处罚情节。公诉机关的量刑建议适当，本院予以采纳。综合本案情节，被告人余某某符合宣告缓刑条件，故对其宣告缓刑。依照中华人民共和国刑法 >>>>>>>>>>> 6
全国人大常委会关于＜中华人民共和国刑法＞第九十三条第二款的解释 >>>>>>>>>>> 6
关于道路交通损害赔偿司法解释 >>>>>>>>>>> 6
关于办理违反公司法受贿、侵占、挪用等刑事案件适用法律若干问题的解释 >>>>>>>>>>> 6
江苏省道路交通安全条例 >>>>>>>>>>> 6
关于刑法第九十三条第二款的解释 >>>>>>>>>>> 6
最高人民法院、最高人民检察院关于办理开设赌场刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 6
本院认为：被告人张×以非法占有为目的，虚构事实，在签订、履行合同过程中，骗取被害人钱款，数额较大，其行为已触犯了刑法，构成合同诈骗罪，依法应予惩处。北京市朝阳区人民检察院指控被告人张×犯合同诈骗罪的事实清楚，证据确实、充分，指控罪名成立。鉴于被告人张×自动到案，到案后如实供述所犯罪行，系自首，且赃款已退赔，故对其所犯罪行依法从轻处罚。在案物品，予以没收。综上，本院根据被告人张×犯罪的事实、性质、情节及对于社会的危害后果和悔罪表现，依据中华人民共和国刑法 >>>>>>>>>>> 6
本院认为：被告人季某身为国家机关工作人员，在处理道路交通事故工作中严重不负责任，不认真履行职责，造成杨某甲等人利用虚假交通事故，骗取保险公司资金共计三十四万余元，致使公共财产、国家和人民利益遭受重大损失，其行为已构成玩忽职守罪。公诉机关指控被告人季某犯玩忽职守罪事实存在，罪名成立。被告人季某对指控其不认真履行职责，造成错误事故认定的犯罪事实供认不讳，本案中，杨某甲等人骗取保险资金，致使保险公司遭受重大经济损失系多种原因造成，被告人季某犯罪情节轻微，可对其免予刑事处罚。被告人季某的辩护人建议宣告被告人季某无罪的辩护意见，本院不予采纳。根据被告人季某的犯罪事实、性质、情节以及对社会的危害程度，案经本院审判委员会讨论决定，依照××中华人民共和国刑法 >>>>>>>>>>> 6
本院认为：被告人刘某某以非法占有为目的，伙同他人以假矿砂冒充优质矿砂，采取隐瞒、调换样品等手段骗取前来购货的客户信任，即与客户签订购货合同，并占有客户支付的65.9万元货款后分赃逃匿，数额特别巨大，其行为已构成合同诈骗罪。公诉机关指控犯罪成立。被告人刘某某能主动投案、如实供述所犯罪行，系自首，且能积极退赔被害单位经济损失，获取被害单位谅解，本院予以减轻处罚。为打击犯罪，保护市场经济秩序，依照中华人民共和国刑法 >>>>>>>>>>> 6
关于审理抢夺案件具体应用法律若干问题的解释 >>>>>>>>>>> 6
最高人民法院关于审理破坏林木资源刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 6
关于审理破坏森林刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 6
两高烟草刑案解释 >>>>>>>>>>> 6
中华人民共和国民法通责 >>>>>>>>>>> 6
最高人民法院、最高人民检察院关于办理刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 6
最高人民法院关于的解释 >>>>>>>>>>> 6
公安机关办理伤害案件规定 >>>>>>>>>>> 6
全国人民代表大会常务委员会关于〈中华人民共和国刑法〉第二百二十八条、第三百四十二条、第四百一十条的解释 >>>>>>>>>>> 6
本院认为：被告人刘×以非法占有为目的，虚构事实，骗取被害人钱款，数额较大，其行为已触犯了刑法，构成诈骗罪，依法应予惩处。北京市朝阳区人民检察院指控被告人刘×犯诈骗罪的事实清楚，证据确实、充分，指控罪名成立。鉴于被告人刘×到案后如实供述所犯罪行，故对其所犯罪行依法从轻处罚。对被告人因犯罪行为给被害人造成的经济损失，应责令退赔。综上，本院根据被告人刘×犯罪的事实、性质、情节及对于社会的危害后果和悔罪表现，依据中华人民共和国刑法 >>>>>>>>>>> 6
处理自首立功意见 >>>>>>>>>>> 6
最高人民法院关于适用刑法第十二条几个问题的解释 >>>>>>>>>>> 6
关于对贵州省盗窃犯罪数额认定标准的规定 >>>>>>>>>>> 6
本院认为，被告人孙现听、辛青海、段跃中、陈广华、孙占良、叶许峰未经许可生产经营法律规定的专营物品，价值12547564元元，其中，辛青海参与非法经营数额为1080286元，陈广华参与非法经营数额11467278元，情节特别严重，其行为均已构成非法经营罪。被告人孙现听、段跃中在刑罚执行完毕后，五年内再犯应当判处有期徒刑以上刑罚之罪，属累犯，应当对其从重处罚。被告人辛青海明知他人没有生产经营许可证而生产假烟，仍为他人提供场地，在共同犯罪中起帮助作用，属从犯，应当减轻处罚。被告人段跃中、陈广华、叶许峰、孙占良在共同犯罪中起次要作用，属从犯，应当减轻处罚。六被告人及其辩护人的辩解意见与审理查明的事实及证据不符，本院不予采信。为打击犯罪，结合本案事实、情节及各被告人在共同犯罪中的地位，及六被告人的认罪态度，依照中华人民共和国刑法 >>>>>>>>>>> 6
本院认为，被告人刘某某以非法占有为目的，与他人多次共同入户盗窃他人财物，数额较大，其行为已构成盗窃罪。公诉机关指控被告人刘某某犯盗窃罪的事实与罪名成立。该案系共同犯罪，在共同犯罪中，被告人刘某某与同案人所起作用相当，均是主犯，应当按照其所参与的全部犯罪处罚。犯罪后，被告人刘某某能如实供述自己的罪行，依法可以对被告人刘某某从轻处罚。公安机关追缴了部分被盗物品退给了被害人，为被害人挽回了部分损失，可酌定对被告人刘某某从轻处罚。其本人请求从轻处罚的意见，本院予以采纳。被告人曾因盗窃被判处刑罚，且系多次入户盗窃，均可酌定对被告人刘某某从重处罚。衡阳县人民检察院提出的对被告人刘某某的量刑建议符合规定，本院予以采纳。据此，对被告人刘某某适用中华人民共和国刑法 >>>>>>>>>>> 6
最高人民法院关于贯彻执行〈中华人民共和国民法通则〉若干问题的意见 >>>>>>>>>>> 6
关于办理非法生产、销售、使用禁止在饲料和动物饮用水中使用的药品等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 6
关于被告人任天亮的行为是否符合引诱、教唆他人吸毒罪构成要件的问题，经查，引诱、教唆他人吸毒罪的犯罪对象是未染上毒瘾的人和曾有毒瘾但已经戒除的人；引诱是指以金钱、物质或者含有毒品的物品让他人吸食，或者以向他人进行鼓动等方法，勾引、诱使、拉拢本无吸毒意愿的人吸毒。教唆是指以宣扬吸毒后的体驯、示范吸毒方法和劝说、授意、怂恿等其他方法，故意唆使他人产生吸毒的意图并进而吸毒。本案中，证人张二猛、任国栋证言证实任元生在2015年前未吸食过毒品，被告人任天亮以及任元生的陈述能够证明2015年1月29日左右及2月2日左右，被告人任天亮以吸食毒品能解酒、公安局尿检不出等理由，鼓动、怂恿任元生尝试吸食冰毒及盐酸二氢埃托啡，据此，本院认为，在此两次吸食毒品过程前任元生并未有吸食毒品的意愿，在被告人任天亮的引诱、教唆下任元生吸食了甲基苯丙胺和盐酸二氢埃托啡，被告人任天亮的上述行为构成引诱、教唆他人吸食毒品罪，公诉机关指控的罪名成立，本院予以支持。关于被告人任天亮引诱、教唆他人吸食毒品的犯罪次数认定的问题，经查，根据任元生陈述能够证明，在第一次跟随任天亮前往文水县购买盐酸二氢埃托啡后，隔天二人又前往文水县购买盐酸二氢埃托啡，其后才是起诉书指控的被告人任天亮引诱、教唆任元生吸食土制海洛因的事实，二人三次前往文水县购买毒品是在三四天内发生的事实，任元生应该知道被告人任天亮前往文水县的目的，但其仍继续陪同前往，且根据任元生陈述，第二次购买盐酸二氢埃托啡时任元生让被告人任天亮为其代购盐酸二氢埃托啡，上述事实表明，任元生在吸食土制海洛因前并非是没有吸毒意愿的人。引诱、教唆他人吸毒罪的犯罪对象是没有吸食毒品意愿的人，且被告人存在鼓动、勾引、诱使、怂恿等手段使他人产生吸毒意愿的行为，起诉书指控的吸食土制海洛因的事实中，根据被告人任天亮供述和任元生陈述，二人之后更多的是一种经验交流，任天亮此时的行为不应认定为刑法意义上的引诱、教唆行为。故本院认为，起诉书中被告人任天亮引诱、教唆任元生吸食毒品土制海洛因的该部分事实证据不足，对于被告人任天亮引诱、教唆他人吸毒的次数应认定为二次。关于被告人任天亮行为是否构成自首的问题，经查，山西省汾阳市公安局提供的情况说明以及被告人供述能够证明，被告人任天亮在2016年6月13日主动到公安机关投案，虽然其在本案诉讼过程中出现翻供情况，但在本院庭审结束前被告人任天亮能如实供述犯罪事实，依法应认定为自首，予以从轻处罚。综上，本院认为，被告人任天亮以宣扬吸毒后的体驯、示范吸毒方法、鼓动等方式勾引、怂恿他人二次吸食毒品，其行为已构成引诱、教唆他人吸毒罪，公诉机关指控的罪名成立，本院予以支持；被告人任天亮曾因犯罪被处以刑罚，属前科，酌情从重处罚；案发后能主动到案，庭审中能如实供述犯罪事实，属自首，依法从轻处罚；本院根据被告人的犯罪情节及悔罪表现、社会危害性等，依照中华人民共和国刑法 >>>>>>>>>>> 6
食品安全国家标准、食品添加剂使用标准 >>>>>>>>>>> 6
关于办理依法贿赂刑事案件适用法律若干问题的解释 >>>>>>>>>>> 6
最高人民法院关于适用财产性若干问题的规定 >>>>>>>>>>> 6
广西壮族自治区高级人民法院、广西壮族自治区人民检察院关于办理诈骗刑事案件执行具体数额标准的通知 >>>>>>>>>>> 6
最高人民法院、最高人民检察院、司法部关于适用普通程序审理”被告人认罪”案件的若干意见（试行） >>>>>>>>>>> 6
